rel_pkl,source_chunk_idx,target_side_x_m
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,28,-0.136379
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,29,-0.146121
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,30,-0.151219
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,31,-0.152192
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,32,-0.151356
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,33,-0.14869
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,34,-0.144182
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,35,-0.136373
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,36,-0.125351
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,37,-0.113045
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,38,-0.101327
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,39,-0.090975
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,40,-0.081711
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,41,-0.075734
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,42,-0.074584
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,43,-0.077568
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,44,-0.083929
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,45,-0.093516
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,46,-0.105203
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,47,-0.119974
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,48,-0.137542
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,52,-0.190137
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,58,-0.162011
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,59,-0.146949
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,60,-0.131055
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,61,-0.115975
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,62,-0.102821
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,63,-0.092823
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,64,-0.087701
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,65,-0.087799
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,66,-0.091481
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,67,-0.099898
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,68,-0.112582
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,69,-0.127177
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,70,-0.142497
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,71,-0.158044
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,72,-0.170921
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,73,-0.179936
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,74,-0.184579
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,75,-0.186995
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,76,-0.186623
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,77,-0.183079
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,78,-0.176853
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,79,-0.166604
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,80,-0.151866
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,81,-0.133292
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,84,-0.083543
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,85,-0.073299
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,86,-0.067503
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,91,-0.084261
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,92,-0.098113
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,93,-0.114989
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,96,-0.155494
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,97,-0.164121
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,98,-0.168473
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,99,-0.170504
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,100,-0.170085
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,101,-0.165692
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,102,-0.158492
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,103,-0.147226
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,104,-0.133257
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,105,-0.117832
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,106,-0.103325
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,107,-0.091203
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,123,-0.161239
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,124,-0.148481
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,125,-0.13218
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,126,-0.113268
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,127,-0.092504
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,139,0.11638
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,140,0.132128
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,141,0.142902
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,142,0.149092
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,143,0.152475
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,144,0.152004
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,145,0.148987
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,146,0.142873
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,147,0.132523
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,148,0.117673
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,149,0.101039
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,150,0.084675
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,163,0.194444
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,164,0.196812
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,165,0.195474
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,166,0.192142
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,167,0.185681
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,168,0.174925
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,169,0.160489
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,170,0.142861
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,171,0.124776
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,172,0.108284
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,173,0.095173
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,174,0.087846
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,175,0.085494
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,176,0.087049
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,177,0.093298
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,178,0.104218
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,179,0.118093
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,180,0.134557
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,181,0.152193
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,182,0.168654
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,183,0.180981
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,184,0.188394
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,185,0.192208
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,186,0.193101
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,187,0.192001
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,188,0.188408
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,189,0.180684
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,190,0.168146
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,191,0.152425
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,192,0.134715
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,193,0.1174
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,194,0.103747
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,195,0.095405
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,196,0.092633
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,201,0.149393
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,202,0.169638
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,203,0.188324
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,204,0.203281
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,205,0.212641
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,206,0.216921
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,207,0.217324
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,208,0.214987
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,209,0.210787
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,210,0.203349
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,211,0.192252
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,212,0.177561
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,213,0.160326
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,214,0.142977
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,215,0.12863
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,216,0.119387
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,217,0.116444
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,218,0.11907
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,219,0.126248
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,220,0.137697
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,221,0.151674
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,222,0.167307
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,223,0.182522
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,224,0.196066
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,225,0.205221
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,226,0.210158
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,227,0.211946
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,228,0.210298
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,229,0.205026
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,230,0.196809
BMLmovi/Subject_12_F_MoSh/Subject_12_F_1.pkl,231,0.185845
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,3,-0.251886
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,4,-0.291368
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,6,-0.359266
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,10,-0.392661
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,11,-0.38181
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,12,-0.36399
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,13,-0.339636
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,14,-0.310733
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,15,-0.276852
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,16,-0.240527
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,17,-0.205806
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,18,-0.174401
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,19,-0.150636
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,29,-0.189122
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,30,-0.21768
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,40,-0.442955
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,41,-0.427506
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,42,-0.405814
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,43,-0.378647
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,44,-0.343959
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,45,-0.302642
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,46,-0.261044
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,47,-0.221779
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,48,-0.188764
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,49,-0.163531
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,50,-0.142876
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,51,-0.126304
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,52,-0.11315
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,53,-0.105492
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,54,-0.101753
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,55,-0.099842
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,56,-0.101084
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,57,-0.105397
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,58,-0.113643
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,59,-0.12557
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,60,-0.142406
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,61,-0.162353
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,74,-0.24279
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,75,-0.213701
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,76,-0.181444
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,77,-0.149515
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,110,0.171241
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,111,0.158266
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,135,0.363866
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,136,0.323962
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,137,0.28271
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,138,0.246228
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,139,0.217826
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,140,0.195421
BMLmovi/Subject_16_F_MoSh/Subject_16_F_12.pkl,141,0.17917
BMLmovi/Subject_16_F_MoSh/Subject_16_F_21.pkl,271,-0.315842
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,0,-0.04964
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,1,-0.079067
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,2,-0.113455
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,3,-0.150414
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,4,-0.186755
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,5,-0.218562
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,6,-0.243619
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,7,-0.262361
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,8,-0.275151
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,9,-0.282362
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,10,-0.285051
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,11,-0.283832
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,12,-0.278234
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,13,-0.269382
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,14,-0.256774
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,15,-0.242035
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,16,-0.229748
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,17,-0.223624
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,18,-0.22483
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,19,-0.232991
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,20,-0.247745
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,21,-0.268429
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,22,-0.294575
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,23,-0.32453
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,24,-0.355873
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,25,-0.383102
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,26,-0.401906
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,27,-0.411669
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,28,-0.411452
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,29,-0.403246
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,30,-0.391227
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,31,-0.378603
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,32,-0.363382
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,33,-0.344304
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,34,-0.320418
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,35,-0.293001
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,36,-0.267122
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,37,-0.247815
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,38,-0.239831
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,39,-0.243828
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,40,-0.256218
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,41,-0.270953
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,42,-0.280474
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,43,-0.279365
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,44,-0.273978
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,45,-0.265745
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,46,-0.253025
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,47,-0.235169
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,48,-0.210385
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,83,0.304442
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,84,0.278529
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,85,0.260562
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,86,0.254566
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,87,0.258891
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,88,0.270397
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,95,0.467523
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,96,0.479685
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,97,0.481667
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,98,0.475128
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,99,0.463541
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,100,0.452093
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,101,0.43682
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,102,0.414924
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,103,0.386743
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,104,0.354512
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,105,0.321712
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,135,-0.301021
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,136,-0.330241
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,137,-0.350129
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,138,-0.361234
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,140,-0.361923
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,141,-0.353563
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,142,-0.341092
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,143,-0.324098
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,144,-0.302219
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,145,-0.274634
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,146,-0.242215
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,147,-0.208258
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,148,-0.180265
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,149,-0.16105
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,150,-0.148428
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,151,-0.141477
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,152,-0.139447
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,153,-0.14159
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,154,-0.146124
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,155,-0.15297
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,156,-0.163059
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,157,-0.178512
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,172,-0.254041
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,173,-0.222841
BMLmovi/Subject_18_F_MoSh/Subject_18_F_11.pkl,174,-0.191589
BMLmovi/Subject_31_F_MoSh/Subject_31_F_5.pkl,8,0.171157
BMLmovi/Subject_31_F_MoSh/Subject_31_F_5.pkl,12,0.23055
BMLmovi/Subject_31_F_MoSh/Subject_31_F_5.pkl,13,0.232199
BMLmovi/Subject_31_F_MoSh/Subject_31_F_5.pkl,14,0.230043
BMLmovi/Subject_31_F_MoSh/Subject_31_F_5.pkl,20,0.166921
BMLmovi/Subject_31_F_MoSh/Subject_31_F_5.pkl,21,0.152695
BMLmovi/Subject_31_F_MoSh/Subject_31_F_5.pkl,22,0.141542
BMLmovi/Subject_31_F_MoSh/Subject_31_F_5.pkl,23,0.134542
BMLmovi/Subject_31_F_MoSh/Subject_31_F_5.pkl,24,0.131927
BMLmovi/Subject_31_F_MoSh/Subject_31_F_5.pkl,25,0.132468
BMLmovi/Subject_31_F_MoSh/Subject_31_F_5.pkl,37,0.266565
BMLmovi/Subject_31_F_MoSh/Subject_31_F_5.pkl,38,0.262854
BMLmovi/Subject_31_F_MoSh/Subject_31_F_5.pkl,39,0.254069
BMLmovi/Subject_31_F_MoSh/Subject_31_F_5.pkl,40,0.242393
BMLmovi/Subject_31_F_MoSh/Subject_31_F_5.pkl,41,0.227367
BMLmovi/Subject_31_F_MoSh/Subject_31_F_5.pkl,42,0.207863
BMLmovi/Subject_31_F_MoSh/Subject_31_F_5.pkl,62,-0.241528
BMLmovi/Subject_31_F_MoSh/Subject_31_F_5.pkl,63,-0.25813
