episode_name,scene_id,episode_id,object_category,changed_20260719_first_pass,changed_20260720_refined_1cm,changed_20260806_v2,final_value_revision
hc_find_nav_interact_102344094_ep0,102344094,0,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_102344094_ep1,102344094,1,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_102344094_ep3,102344094,3,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_102344094_ep11,102344094,11,potted_plant,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_102344094_ep13,102344094,13,potted_plant,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_102344094_ep14,102344094,14,potted_plant,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_102344094_ep15,102344094,15,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_102344094_ep18,102344094,18,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_102344094_ep19,102344094,19,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_102344529_ep0,102344529,0,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_102344529_ep3,102344529,3,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_102344529_ep10,102344529,10,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_102344529_ep14,102344529,14,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_102344529_ep18,102344529,18,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_102344529_ep21,102344529,21,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_102344529_ep22,102344529,22,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_102344529_ep23,102344529,23,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_102344529_ep26,102344529,26,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_102344529_ep27,102344529,27,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_102815835_ep1,102815835,1,chair,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_102815835_ep4,102815835,4,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_102815835_ep6,102815835,6,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_102815835_ep8,102815835,8,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_102815835_ep10,102815835,10,potted_plant,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_102815835_ep11,102815835,11,potted_plant,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_102815835_ep13,102815835,13,potted_plant,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_102815835_ep14,102815835,14,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_102815835_ep20,102815835,20,tv,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_102815835_ep22,102815835,22,tv,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_102815835_ep24,102815835,24,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_102815835_ep25,102815835,25,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_102815835_ep27,102815835,27,bed,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_102816036_ep2,102816036,2,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_102816036_ep13,102816036,13,tv,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_102816036_ep16,102816036,16,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_102816036_ep24,102816036,24,bed,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_102816036_ep28,102816036,28,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_102816114_ep10,102816114,10,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_102816114_ep11,102816114,11,bed,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_102816114_ep12,102816114,12,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_102816114_ep14,102816114,14,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_102816114_ep19,102816114,19,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_102816114_ep20,102816114,20,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_102816114_ep26,102816114,26,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_102816600_ep0,102816600,0,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_102816600_ep3,102816600,3,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_102816600_ep11,102816600,11,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_102816600_ep13,102816600,13,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_102816600_ep14,102816600,14,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_102816600_ep16,102816600,16,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_102816600_ep17,102816600,17,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_102816600_ep22,102816600,22,tv,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_102816600_ep24,102816600,24,tv,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_102816600_ep26,102816600,26,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_102816600_ep27,102816600,27,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_102816756_ep3,102816756,3,potted_plant,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_102816756_ep5,102816756,5,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_102816756_ep18,102816756,18,bed,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_102816756_ep19,102816756,19,bed,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_102816756_ep20,102816756,20,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_102816756_ep26,102816756,26,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_102816756_ep29,102816756,29,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_102817140_ep12,102817140,12,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_102817140_ep27,102817140,27,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_103997586_171030666_ep1,103997586_171030666,1,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_103997586_171030666_ep2,103997586_171030666,2,potted_plant,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_103997586_171030666_ep3,103997586_171030666,3,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_103997586_171030666_ep10,103997586_171030666,10,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_103997586_171030669_ep14,103997586_171030669,14,tv,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_103997586_171030669_ep19,103997586_171030669,19,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_103997586_171030669_ep20,103997586_171030669,20,couch,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_103997586_171030669_ep22,103997586_171030669,22,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_103997895_171031182_ep6,103997895_171031182,6,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_103997895_171031182_ep7,103997895_171031182,7,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_103997895_171031182_ep8,103997895_171031182,8,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_103997895_171031182_ep10,103997895_171031182,10,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_103997895_171031182_ep11,103997895_171031182,11,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_103997895_171031182_ep12,103997895_171031182,12,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_103997895_171031182_ep16,103997895_171031182,16,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_103997895_171031182_ep21,103997895_171031182,21,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_103997895_171031182_ep27,103997895_171031182,27,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_103997895_171031182_ep28,103997895_171031182,28,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_104348010_171512832_ep5,104348010_171512832,5,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_104348010_171512832_ep17,104348010_171512832,17,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_104348010_171512832_ep21,104348010_171512832,21,chair,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_104348010_171512832_ep27,104348010_171512832,27,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_104348010_171512832_ep29,104348010_171512832,29,toilet,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_104348028_171512877_ep8,104348028_171512877,8,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_104348028_171512877_ep11,104348028_171512877,11,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_104348028_171512877_ep20,104348028_171512877,20,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_104348028_171512877_ep22,104348028_171512877,22,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_104348028_171512877_ep29,104348028_171512877,29,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_104348328_171513363_ep2,104348328_171513363,2,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_104348328_171513363_ep3,104348328_171513363,3,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_104348328_171513363_ep8,104348328_171513363,8,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_104348328_171513363_ep12,104348328_171513363,12,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_104348328_171513363_ep14,104348328_171513363,14,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_104348328_171513363_ep16,104348328_171513363,16,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_104348328_171513363_ep17,104348328_171513363,17,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_104348328_171513363_ep19,104348328_171513363,19,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_104348328_171513363_ep23,104348328_171513363,23,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_104348328_171513363_ep25,104348328_171513363,25,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_104348328_171513363_ep27,104348328_171513363,27,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_104348328_171513363_ep29,104348328_171513363,29,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_104348361_171513414_ep1,104348361_171513414,1,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_104348361_171513414_ep11,104348361_171513414,11,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_104348361_171513414_ep19,104348361_171513414,19,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_104348361_171513414_ep25,104348361_171513414,25,bed,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_104862384_172226319_ep0,104862384_172226319,0,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_104862384_172226319_ep3,104862384_172226319,3,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_104862384_172226319_ep4,104862384_172226319,4,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_104862384_172226319_ep5,104862384_172226319,5,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_104862384_172226319_ep8,104862384_172226319,8,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_104862384_172226319_ep12,104862384_172226319,12,chair,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_104862384_172226319_ep25,104862384_172226319,25,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_104862417_172226382_ep3,104862417_172226382,3,potted_plant,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_104862417_172226382_ep12,104862417_172226382,12,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_104862417_172226382_ep17,104862417_172226382,17,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_104862417_172226382_ep22,104862417_172226382,22,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_104862417_172226382_ep28,104862417_172226382,28,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_104862501_172226556_ep3,104862501_172226556,3,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_104862501_172226556_ep4,104862501_172226556,4,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_104862501_172226556_ep5,104862501_172226556,5,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_104862501_172226556_ep14,104862501_172226556,14,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_104862501_172226556_ep23,104862501_172226556,23,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_104862501_172226556_ep24,104862501_172226556,24,tv,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_104862501_172226556_ep26,104862501_172226556,26,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515184_173104128_ep0,105515184_173104128,0,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515184_173104128_ep5,105515184_173104128,5,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515184_173104128_ep12,105515184_173104128,12,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515184_173104128_ep20,105515184_173104128,20,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515211_173104185_ep0,105515211_173104185,0,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515211_173104185_ep2,105515211_173104185,2,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515211_173104185_ep5,105515211_173104185,5,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515211_173104185_ep6,105515211_173104185,6,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515211_173104185_ep7,105515211_173104185,7,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515211_173104185_ep8,105515211_173104185,8,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515211_173104185_ep11,105515211_173104185,11,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515211_173104185_ep15,105515211_173104185,15,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515211_173104185_ep19,105515211_173104185,19,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515211_173104185_ep20,105515211_173104185,20,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515211_173104185_ep23,105515211_173104185,23,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515379_173104395_ep5,105515379_173104395,5,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515379_173104395_ep7,105515379_173104395,7,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515379_173104395_ep11,105515379_173104395,11,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515379_173104395_ep14,105515379_173104395,14,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515379_173104395_ep18,105515379_173104395,18,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515379_173104395_ep19,105515379_173104395,19,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515379_173104395_ep20,105515379_173104395,20,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515379_173104395_ep21,105515379_173104395,21,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515379_173104395_ep24,105515379_173104395,24,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515379_173104395_ep26,105515379_173104395,26,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_105515379_173104395_ep27,105515379_173104395,27,chair,yes,yes,yes,20260806-v2
hc_find_nav_interact_105515379_173104395_ep29,105515379_173104395,29,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_106366104_174226332_ep2,106366104_174226332,2,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_106366104_174226332_ep4,106366104_174226332,4,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_106366104_174226332_ep9,106366104_174226332,9,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_106366104_174226332_ep13,106366104_174226332,13,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_106366104_174226332_ep25,106366104_174226332,25,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_106366104_174226332_ep27,106366104_174226332,27,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_106366386_174226770_ep3,106366386_174226770,3,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_106366386_174226770_ep7,106366386_174226770,7,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_106366386_174226770_ep9,106366386_174226770,9,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_106366386_174226770_ep10,106366386_174226770,10,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_106366386_174226770_ep14,106366386_174226770,14,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_106366386_174226770_ep15,106366386_174226770,15,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_106366386_174226770_ep22,106366386_174226770,22,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_106366386_174226770_ep25,106366386_174226770,25,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_106366410_174226806_ep9,106366410_174226806,9,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_106366410_174226806_ep21,106366410_174226806,21,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_106366410_174226806_ep29,106366410_174226806,29,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_106878867_174886977_ep1,106878867_174886977,1,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_106878867_174886977_ep7,106878867_174886977,7,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_106878867_174886977_ep26,106878867_174886977,26,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_106878867_174886977_ep27,106878867_174886977,27,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_106878867_174886977_ep29,106878867_174886977,29,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_106878915_174887025_ep0,106878915_174887025,0,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_106878915_174887025_ep2,106878915_174887025,2,chair,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_106878915_174887025_ep7,106878915_174887025,7,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_106878915_174887025_ep10,106878915_174887025,10,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_106878915_174887025_ep11,106878915_174887025,11,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_106878915_174887025_ep15,106878915_174887025,15,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_106878915_174887025_ep16,106878915_174887025,16,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_106878915_174887025_ep19,106878915_174887025,19,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_106878915_174887025_ep21,106878915_174887025,21,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_106878915_174887025_ep24,106878915_174887025,24,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_106878915_174887025_ep26,106878915_174887025,26,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_106878915_174887025_ep29,106878915_174887025,29,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_106878960_174887073_ep0,106878960_174887073,0,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_106878960_174887073_ep5,106878960_174887073,5,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_106878960_174887073_ep8,106878960_174887073,8,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_106878960_174887073_ep10,106878960_174887073,10,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_106878960_174887073_ep12,106878960_174887073,12,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_106878960_174887073_ep14,106878960_174887073,14,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_106878960_174887073_ep18,106878960_174887073,18,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_106878960_174887073_ep21,106878960_174887073,21,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_106878960_174887073_ep27,106878960_174887073,27,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_106879005_174887124_ep5,106879005_174887124,5,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_106879005_174887124_ep6,106879005_174887124,6,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_106879005_174887124_ep13,106879005_174887124,13,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_106879005_174887124_ep24,106879005_174887124,24,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_106879080_174887211_ep4,106879080_174887211,4,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_106879080_174887211_ep7,106879080_174887211,7,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_106879080_174887211_ep11,106879080_174887211,11,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_106879080_174887211_ep13,106879080_174887211,13,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_106879080_174887211_ep18,106879080_174887211,18,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_106879080_174887211_ep21,106879080_174887211,21,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_106879080_174887211_ep24,106879080_174887211,24,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_106879080_174887211_ep26,106879080_174887211,26,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_106879080_174887211_ep29,106879080_174887211,29,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_107733960_175999701_ep6,107733960_175999701,6,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_107733960_175999701_ep13,107733960_175999701,13,couch,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_107733960_175999701_ep14,107733960_175999701,14,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_107733960_175999701_ep26,107733960_175999701,26,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734056_175999839_ep4,107734056_175999839,4,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734056_175999839_ep10,107734056_175999839,10,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734056_175999839_ep14,107734056_175999839,14,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734056_175999839_ep17,107734056_175999839,17,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734176_176000019_ep0,107734176_176000019,0,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734176_176000019_ep3,107734176_176000019,3,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734176_176000019_ep5,107734176_176000019,5,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734176_176000019_ep8,107734176_176000019,8,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734176_176000019_ep14,107734176_176000019,14,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734176_176000019_ep15,107734176_176000019,15,couch,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_107734176_176000019_ep17,107734176_176000019,17,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734176_176000019_ep18,107734176_176000019,18,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734176_176000019_ep21,107734176_176000019,21,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734176_176000019_ep25,107734176_176000019,25,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734254_176000121_ep0,107734254_176000121,0,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734254_176000121_ep7,107734254_176000121,7,potted_plant,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_107734254_176000121_ep11,107734254_176000121,11,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734254_176000121_ep16,107734254_176000121,16,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734254_176000121_ep21,107734254_176000121,21,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734254_176000121_ep22,107734254_176000121,22,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734254_176000121_ep24,107734254_176000121,24,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734287_176000160_ep2,107734287_176000160,2,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734287_176000160_ep3,107734287_176000160,3,potted_plant,yes,yes,no,20260720-refined-1cm
hc_find_nav_interact_107734287_176000160_ep14,107734287_176000160,14,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734287_176000160_ep18,107734287_176000160,18,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734287_176000160_ep19,107734287_176000160,19,chair,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734287_176000160_ep24,107734287_176000160,24,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734287_176000160_ep28,107734287_176000160,28,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734287_176000160_ep29,107734287_176000160,29,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734338_176000244_ep0,107734338_176000244,0,potted_plant,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734338_176000244_ep7,107734338_176000244,7,bed,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734338_176000244_ep12,107734338_176000244,12,tv,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734338_176000244_ep20,107734338_176000244,20,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734338_176000244_ep21,107734338_176000244,21,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734338_176000244_ep22,107734338_176000244,22,toilet,yes,no,no,20260719-first-pass
hc_find_nav_interact_107734338_176000244_ep25,107734338_176000244,25,couch,yes,no,no,20260719-first-pass
hc_find_nav_interact_108736689_177263340_ep0,108736689_177263340,0,potted_plant,yes,no,no,20260719-first-pass
